ID,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
/player/189615/aaron-cresswell/170099/,80,53,58,72,45,76,75,69,68,75,78,78,78,68,90,71,85,83,57,62,68,71,60,68,59,72,76,75,78,14,7,9,9,12
/player/173546/james-tomkins/170099/,45,29,78,63,28,50,33,31,60,58,55,56,51,73,53,40,74,75,76,29,73,74,45,50,43,69,77,79,80,11,8,6,9,14
/player/186801/cheikhou-kouyate/170099/,54,65,80,68,50,68,39,47,64,73,76,79,65,79,60,74,78,92,86,63,84,81,72,63,52,72,70,81,75,15,8,9,12,9
/player/182836/andy-carroll/170099/,64,77,91,65,74,67,53,42,56,74,69,65,62,77,50,85,84,75,92,78,85,45,76,65,73,78,42,46,43,14,14,12,10,6
/player/188988/manuel-lanzini/170099/,74,69,56,78,61,86,75,76,77,85,85,80,87,73,88,75,76,79,45,73,35,23,72,77,68,75,20,26,25,14,9,6,7,15
/player/220295/enner-valencia/170099/,70,75,74,68,61,75,71,65,63,72,86,85,76,72,74,84,90,85,68,74,50,42,73,62,70,75,37,40,42,9,12,16,9,8
/player/152879/mark-noble/170099/,71,61,62,79,69,74,71,67,78,76,49,50,66,73,74,74,59,89,71,68,81,76,64,79,88,79,65,75,75,7,6,14,16,11
/player/19292/james-collins/170099/,38,38,81,59,36,38,29,64,65,59,47,34,33,70,34,70,62,67,85,51,85,75,34,54,51,63,74,78,77,15,12,10,15,11
/player/183855/angelo-ogbonna/170099/,51,25,78,68,30,61,51,36,67,59,70,73,60,64,54,71,74,70,84,46,70,84,30,50,39,79,81,84,83,5,3,5,4,4
/player/190717/michail-antonio/170099/,73,74,88,71,69,82,66,60,67,78,88,89,86,75,79,75,84,81,86,71,75,40,77,65,73,67,44,56,53,12,13,8,14,10
/player/173426/simon-mignolet/170099/,11,11,16,39,16,14,16,12,34,24,55,59,28,76,42,45,69,31,72,16,34,21,16,40,41,66,13,14,16,80,76,65,74,84
/player/190456/nathaniel-clyne/170099/,80,54,66,76,45,77,64,39,67,75,86,86,84,75,76,74,67,87,71,69,76,77,72,64,46,75,81,83,86,10,11,13,15,7
/player/195086/dejan-lovren/170099/,59,33,77,68,42,64,26,18,66,67,61,58,54,75,41,63,82,70,85,34,87,82,21,56,52,75,80,84,85,14,14,13,10,7
/player/184111/christian-benteke/170099/,58,79,88,72,74,72,60,67,48,80,75,79,74,71,48,85,82,77,90,76,63,29,76,73,77,78,25,30,18,14,5,12,8,5
/player/183285/mamadou-sakho/170099/,60,23,74,75,20,50,50,30,68,61,55,68,61,72,55,51,82,76,90,38,86,82,32,49,40,74,79,84,80,14,12,9,7,8
/player/208333/emre-can/170099/,70,60,70,80,61,76,68,65,79,80,72,77,75,77,72,78,76,86,84,72,83,79,73,78,60,74,78,80,79,14,8,8,13,11
/player/205540/jordon-ibe/170099/,66,65,35,65,50,77,65,24,56,74,86,86,75,64,80,79,60,69,71,68,50,46,67,54,57,62,45,55,53,13,15,7,13,13
/player/177392/dieumerci-mbokani/170099/,46,77,79,73,72,73,48,46,53,74,76,81,83,75,66,80,83,78,83,68,68,35,76,69,72,80,16,36,28,8,6,9,10,12
/player/201884/robbie-brady/170099/,80,66,53,71,62,75,81,78,75,75,85,82,77,73,75,75,75,80,69,74,51,62,70,74,65,73,62,68,71,12,8,13,7,7
/player/198719/nathan-redmond/170099/,71,68,33,69,55,79,69,65,63,77,89,86,90,63,84,71,48,72,45,71,38,22,71,72,60,62,18,26,30,12,14,16,6,10
/player/2147/maarten-stekelenburg/170099/,18,11,14,39,11,12,13,13,37,31,35,45,35,73,27,13,55,30,77,11,41,26,13,41,23,63,18,15,14,78,73,81,74,76
/player/199422/jordy-clasie/170099/,70,34,27,81,73,70,80,70,78,80,68,65,75,79,90,77,56,76,69,71,85,80,65,83,64,71,64,73,61,11,11,14,10,7
/player/169216/shane-long/170099/,70,73,75,62,70,73,54,37,49,75,84,84,74,77,73,76,93,84,79,67,80,42,77,63,78,70,36,27,24,11,13,10,11,10
/player/151508/steven-davis/170099/,75,58,53,80,64,76,73,69,77,77,67,67,79,80,76,63,82,86,67,63,74,67,68,75,62,84,66,71,67,9,7,13,9,11
/player/199434/dusan-tadic/170099/,79,65,63,81,73,83,83,76,77,85,72,70,81,80,80,69,65,73,64,66,56,31,73,84,78,79,40,34,26,11,11,14,9,16
/player/188942/victor-wanyama/170099/,63,63,73,75,62,74,62,57,68,74,64,71,72,81,66,79,81,85,92,65,90,81,65,67,65,76,77,84,79,6,14,10,13,16
/player/204519/cuco-martina/170099/,70,45,65,62,44,62,60,45,60,61,72,74,70,71,60,61,85,77,72,60,71,69,53,59,51,71,68,72,69,13,14,14,14,12
/player/205569/james-ward-prowse/170099/,88,53,57,81,51,71,86,79,80,78,69,68,74,73,79,74,68,76,64,70,67,65,61,82,64,79,55,65,62,12,12,10,15,15
/player/203376/virgil-van-dijk/170099/,53,55,77,74,45,69,60,70,76,73,74,76,57,74,51,81,81,74,92,64,76,83,41,59,62,87,83,85,82,13,10,13,11,11
/player/169705/ryan-bertrand/170099/,79,41,69,76,43,75,74,66,70,77,81,79,76,76,68,59,71,83,72,54,73,77,63,51,52,76,79,82,82,11,13,15,10,15
/player/194957/phil-jones/170099/,64,50,75,75,60,60,38,35,67,69,55,68,43,78,62,68,83,80,80,59,85,79,42,59,55,73,81,82,82,10,8,6,16,11
/player/54050/wayne-rooney/170099/,78,82,75,79,85,76,84,81,84,80,69,73,76,82,77,86,80,82,83,83,81,54,82,81,79,88,48,54,37,10,11,13,8,7
/player/211300/anthony-martial/170099/,73,80,70,75,74,88,76,54,58,84,92,91,85,81,85,84,80,80,80,72,59,42,79,70,71,78,35,39,38,9,8,8,15,11
/player/189881/chris-smalling/170099/,52,50,85,66,54,59,49,22,63,61,76,77,60,83,48,42,75,79,87,35,82,81,48,49,52,76,80,83,81,10,15,16,15,15
/player/190815/daley-blind/170099/,77,46,71,81,62,73,80,62,81,80,65,58,73,85,75,68,71,86,73,64,70,86,64,79,56,86,82,84,77,12,9,10,14,10
/player/152908/ashley-young/170099/,84,69,51,74,75,79,84,72,66,79,83,78,84,77,77,75,57,70,56,73,55,65,70,77,65,63,56,59,61,16,10,15,16,15
/player/177358/morgan-schneiderlin/170099/,65,64,71,83,56,75,68,61,79,79,69,66,73,81,71,71,72,90,77,56,84,84,67,73,56,83,76,82,80,6,11,12,14,7
/player/164835/lukasz-fabianski/170099/,14,13,11,20,17,14,18,12,32,22,50,47,52,71,44,14,68,25,65,20,43,16,15,52,22,63,11,12,13,77,84,70,78,84
/player/163824/ashley-williams/170099/,32,37,79,72,34,57,34,23,74,69,68,72,58,81,59,64,86,73,86,40,83,83,28,53,45,80,81,85,80,7,10,16,7,10
/player/140415/leon-britton/170099/,65,55,41,85,47,76,61,58,79,81,52,54,77,78,91,51,70,70,58,48,77,73,55,82,59,86,70,75,69,10,16,7,7,15
/player/176571/andre-ayew/170099/,80,75,78,78,65,80,74,57,71,82,78,78,86,75,81,75,92,88,73,75,78,57,76,75,71,75,54,62,60,10,6,12,7,15
/player/54051/wayne-routledge/170099/,74,69,34,73,71,83,61,28,72,77,71,74,82,73,87,68,71,69,73,55,36,39,72,74,63,69,30,37,46,15,11,8,10,15
/player/184484/gylfi-sigurdhsson/170099/,82,81,60,83,75,78,86,88,77,82,67,69,72,77,62,82,70,83,67,83,57,37,80,84,80,80,55,58,57,13,8,10,15,12
/player/169706/jack-cork/170099/,57,54,71,80,60,73,39,24,78,77,64,55,63,77,71,57,72,83,72,50,70,80,65,74,47,80,71,78,76,13,11,16,6,6
/player/201988/federico-fernandez/170099/,23,26,80,70,21,39,49,42,56,66,54,53,48,72,48,27,76,68,79,29,78,82,36,44,42,72,82,79,78,12,12,13,14,12
/player/48940/petr-cech/170099/,19,12,19,35,17,12,13,19,33,22,40,44,49,86,34,21,51,32,65,11,17,23,13,53,23,70,11,13,12,83,90,77,84,85
/player/53612/per-mertesacker/170099/,38,36,86,67,30,39,39,45,58,65,26,28,29,83,28,71,32,61,85,25,69,86,43,58,42,87,86,87,84,12,13,5,12,8
/player/165229/laurent-koscielny/170099/,54,32,84,76,35,62,22,49,69,67,78,80,70,82,62,54,86,77,76,47,90,86,31,56,51,80,83,87,86,13,11,9,11,7
